condition,doc_id,final_delta,min_delta,exact_fp,approx_fp,fit_k,fit_c,fit_r2,len0,len_final,drift_final
D2_framing_lenient,abs_017,0.2961165048543689,0.22041829815681405,,,1.5787838682772821,0.29092281846277546,0.8590666660627689,1550,10094,0.7007106140519016
D2_framing_lenient,abs_041,0.24480884056679442,0.24480884056679442,,,0.5352378951203687,0.26125252732093646,0.7984341919679238,703,11221,0.7533208279982154
D2_genre_prose,wiki_009,0.42437055544877955,0.31756508984231757,,,0.18041558191822227,0.2512058079103924,0.6070061414346322,452,10406,0.6097712403049803
D2_genre_prose,wiki_004,0.2261839458767599,0.2261839458767599,,,0.3050388879408755,0.21064672281417232,0.8568422187772982,608,10636,0.5570492288813417
D2_genre_prose,wiki_000,0.07267192999143918,0.07267192999143918,,,0.15915786359304374,2.6030359060176944e-14,0.8407171475128622,901,10420,0.6942277920913098
D2_genre_prose,wiki_007,0.31719848566792863,0.24950773558368494,,,0.16740581834076215,0.01843245670132851,0.8772963442294985,355,11094,0.53484827168038
D2_genre_prose,wiki_002,0.2581170299357873,0.22298916690633688,,,0.4112539163451601,0.20470151395257472,0.9306217736672275,523,10871,0.6887966688346076
D2_genre_prose,wiki_001,0.24613510728005247,0.20640806236927173,,,0.4244941849484099,0.2415493451648267,0.7662455750212598,949,10607,0.6489697639008396
D2_genre_prose,wiki_003,0.27431816066275716,0.2635487988859232,,,0.3523403830225003,0.2000683391270239,0.9361059428178827,464,10743,0.6129797155187413
D2_genre_prose,wiki_010,0.46191558053330145,0.10068157359799115,,,0.5694545826568091,0.26612372065011425,0.6673705651658378,525,7793,0.5979066357552996
D2_genre_prose,wiki_008,0.15783216090359656,0.15783216090359656,,,0.13041314082180047,1.1482661559012648e-21,0.8549694712552859,1463,10093,0.6798788302134186
D2_genre_prose,wiki_005,0.31529348411416264,0.2475454355546271,,,1.2052070564051036,0.3082765196067052,0.9314478250657559,790,11142,0.6494032323308528
D2_single_stage,abs_000,0.041811846689895474,0.041811846689895474,,,1.875673307868205,0.043211516150441824,0.9858937852089517,1617,1708,0.9915564595970756
D2_single_stage,abs_001,0.016898608349900597,0.016898608349900597,,3,1.8557386743381739,0.01652568691032642,0.9999715950982186,1910,2012,0.966663926935903
D2_single_stage,abs_009,0.01717171717171717,0.01717171717171717,,3,2.2320865208598653,0.018060222410655833,0.9993495930444929,1910,1980,0.9669508334098216
D2_single_stage,abs_033,0.2033898305084746,0.1942257217847769,,,0.7094817657207458,0.19883154286221522,0.9890929802551588,757,755,0.9676880654346204
D2_single_stage,abs_008,0.009564293304994687,0.009564293304994687,,4,2.741005129871374,0.014803827131741427,0.948440573002697,1848,1876,0.9425485418423372
D2_single_stage,abs_016,0.02790346907993967,0.02790346907993967,,,0.7678470358585382,0.03310776550719722,0.9195244472014655,1358,1324,0.9885734908573492
D2_single_stage,abs_032,0.04758800521512386,0.04174820613176777,,,1.827783223835256,0.04462186857218897,0.9973107017822862,1561,1534,0.9745834766050446
D2_single_stage,abs_017,0.0,0.0,2,1,2.78033146543606,1.791600358245654e-11,0.9999825187244291,1550,1637,0.9873897586694952
D2_single_stage,abs_041,0.12101063829787234,0.12101063829787234,,,0.4945579199102072,0.11380949545825568,0.9645074615284409,703,732,0.959082476505468
D2_single_stage,abs_040,0.04962920707358814,0.04846066134549601,,,1.6504904930297504,0.05652774294876539,0.994726907172208,1637,1753,0.9701768708450615
D2_single_stage,abs_025,0.013754457463066735,0.013754457463066735,,4,0.5958262307865007,0.011070265183892944,0.9806202617437948,1852,1963,0.9699275668410517
D2_single_stage,abs_024,0.021920668058455117,0.021920668058455117,,,2.024493062614223,0.02493345664632174,0.9872316495653602,920,958,0.9937164657743369
D2_temp_default,abs_024,0.5369177141649942,0.5300517587408894,,,0.29164677451669635,0.5078496537296969,0.8493495657743961,920,9037,0.7533525746751148
D2_temp_default,abs_001,0.4677737123557557,0.46308186195826645,,,0.051388545631636806,9.237301972109907e-11,0.46530601584549514,1910,10659,0.7570866118682079
D2_temp_default,abs_008,0.5337498719655843,0.41459029026457744,,,15.03214871684935,0.570957063205452,-6.872280522429719e-12,1848,9508,0.8069738646834906
D2_temp_default,abs_009,0.4811533941968725,0.4811533941968725,,,17.39340574605681,0.5860352511545981,0.15985074609986405,1910,11063,0.767030744039979
D2_temp_default,abs_032,0.6207446808510638,0.4765957446808511,,,0.22046293375649692,0.5370613578319344,0.14971778821754822,1561,8749,0.7900196182606006
D2_temp_default,abs_040,0.678550089623581,0.3534339990258159,,,1.6955311743270325,0.5632149691977711,0.1548851177961864,1637,10042,0.734994058413298
D2_temp_default,abs_025,0.4951038711448705,0.4258660508083141,,,0.0507336074345804,4.424193506103588e-15,0.6650493525949344,1852,10927,0.8173350578183468
D2_temp_default,abs_016,0.7045898999194754,0.5367376176831764,,,19.087114364890326,0.6637617708673019,0.011663588613409881,1358,8693,0.6200654327549697
D2_temp_default,abs_000,0.5935337156416848,0.5935337156416848,,,0.005574350866607418,1.3599734111415488e-09,0.04922677544576659,1617,10114,0.7404491385834868
D2_temp_default,abs_033,0.6290509259259259,0.5489989462592202,,,18.72731325620011,0.6431056557464155,0.5083843937709741,757,8640,0.6855773882767099
D2_temp_default,abs_041,0.7179186228482003,0.5680774481817054,,,19.999986764777532,0.6778550268777045,0.20131442520069787,703,7668,0.6899125973367821
D2_temp_default,abs_017,0.7471215351812367,0.6169865251122907,,,19.997410283393695,0.7086975864775155,-3.3745450833677637e-07,1550,6978,0.7110842898174421
D2_unconstrained,abs_032,0.4371613354308687,0.3005200255451145,,,19.999997036687933,0.4842632073171432,0.2729512740689062,1561,11442,0.6665199813201017
D2_unconstrained,abs_025,0.41235697940503435,0.37766726943942136,,,5.125433063293382,0.49538549544726,0.22336272370872157,1852,10744,0.7618458978173547
D2_unconstrained,abs_024,0.39747345294763825,0.328196082072231,,,0.47977663700052386,0.3582074810558541,0.9502615485306583,920,10924,0.7671396396298678
D2_unconstrained,abs_016,0.5805008944543828,0.4196978731862453,,,16.62048473689789,0.48300830551156293,0.4181027826214202,1358,9717,0.7917917552493571
D2_unconstrained,abs_040,0.3681516587677725,0.3321757086540267,,,0.49230252254224527,0.3587140468287599,0.7687733243106908,1637,10022,0.7847735692195267
D2_unconstrained,abs_033,0.23884407229653834,0.23884407229653834,,,0.4336910731154379,0.28723526622598106,0.8171200326149186,757,9793,0.7557817888791365
D2_unconstrained,abs_001,0.4101010101010101,0.3960910206779341,,,1.5807952654463815,0.4689109882187569,0.5467773774391582,1910,10890,0.7832471602388013
D2_unconstrained,abs_009,0.3213382774313164,0.3213382774313164,,,0.07133606343383671,3.4014734663428966e-12,0.4681032927973593,1910,11866,0.8055892370390597
D2_unconstrained,abs_008,0.40869646356256417,0.32250546249089584,,,17.636426517852883,0.4568684263349549,0.23217074935254645,1848,10717,0.8510064411295292
D2_unconstrained,abs_000,0.3007903718340219,0.3007903718340219,,,1.2545111369630808,0.4637900241791611,0.3662821729903216,1617,10898,0.772312705678004
D2_unconstrained,abs_017,0.6312971259971588,0.3356018715440238,,,19.999989674185215,0.47846448348169185,0.3643147438608434,1550,9151,0.7886128772620462
D2_unconstrained,abs_041,0.27781840977954236,0.27781840977954236,,,0.21419347466524175,0.27182529714612275,0.8087876595864123,703,9571,0.7455110459186073
